company_name,location,industry,website,linkedin_slug,linkedin_url,employees_sf,slug_source
1Medical,Sydney,"Services - professional, scientific, and technical",https://www.1medical.com.au/,1-medical,https://www.linkedin.com/company/1-medical/,54.0,firmable
2 Steps,Melbourne,IT - Software,https://2steps.io/,2-steps,https://www.linkedin.com/company/2-steps/,5.0,firmable
23Strands,Sydney,"Services - professional, scientific, and technical",https://www.23strands.com/about/company,23strands,https://www.linkedin.com/company/23strands/,27.0,firmable
2IQ,New Zealand,IT - Software,https://www.2iqsolutions.com/,2iq,https://www.linkedin.com/company/2iq/,9.0,firmable
2MT Mining Products,Queensland,"Mining, oil and gas",https://www.2mtminingproducts.com/,2mt-mining-products-pty-ltd,https://www.linkedin.com/company/2mt-mining-products-pty-ltd/,,firmable
2Shakes,Wellington,IT - Software,https://www.2shakes.co.nz/,2shakesnz,https://www.linkedin.com/company/2shakesnz/,3.0,serp
360 Engineering,Sydney,"Services - professional, scientific, and technical",https://360engineering.com.au/,360engineering-au,https://www.linkedin.com/company/360engineering-au/,5.0,firmable
365mesh,Sydney,IT - Software,https://www.365mesh.com/,365mesh,https://www.linkedin.com/company/365mesh/,34.0,firmable
3Columns,Sydney,"Services - professional, scientific, and technical",https://3columns.io/,3columns,https://www.linkedin.com/company/3columns/,48.0,firmable
AABDL,Sydney,Education,https://myabdlsupplies.com.au/?srsltid=AfmBOorCTBJgTqlUD0njc3Lu0drzh6BdSXJoTI-E0papGq3xl0bdIxVT,aab-holdings-pty-limited,https://www.linkedin.com/company/aab-holdings-pty-limited/,20.0,serp
ACIM Solutions,New South Wales,Education,https://www.acimsolutions.com.au/,acim-solutions,https://www.linkedin.com/company/acim-solutions/,11.0,firmable
AEON Disability Support Services,Adelaide,Healthcare,https://aeondisabilityservices.com.au/,aeon-dss,https://www.linkedin.com/company/aeon-dss/,11.0,firmable
ALL I.T,Sydney,"Services - professional, scientific, and technical",https://allitservices.com.au/,all-it-australia,https://www.linkedin.com/company/all-it-australia/,36.0,firmable
AM Logistics,Brisbane,"Services - professional, scientific, and technical",https://amlogistics.com.au/,am-logistics-pty-ltd,https://www.linkedin.com/company/am-logistics-pty-ltd/,62.0,firmable
AML Solutions / AMLHUB,Auckland,IT - Software,https://amlsolutions.co.nz/,amlhub,https://www.linkedin.com/company/amlhub/,7.0,serp
AMLab,Perth,IT - Software,https://www.amlab.com.au/,amlab,https://www.linkedin.com/company/amlab/,17.0,firmable
AQUA Schools,Melbourne,Education,https://www.aquaschools.com.au/,aquastar-swim-schools,https://www.linkedin.com/company/aquastar-swim-schools/,24.0,serp
AT Group,Sydney,IT - Software,https://atgroup.co/,atg-group-australia,https://www.linkedin.com/company/atg-group-australia/,,serp
A_space,Melbourne,Manufacturing,https://aspace.com.au/,a_space-recreation-pty-ltd,https://www.linkedin.com/company/a_space-recreation-pty-ltd/,,firmable
